Time,Open,High,Low,Close,Volume
2019-11-11 07:44:15,108.94,108.94200000000001,108.94,108.94200000000001,3
2019-11-11 07:44:20,108.941,108.94200000000001,108.94,108.941,7
2019-11-11 07:44:25,108.94,108.941,108.94,108.941,2
2019-11-11 07:44:30,108.94200000000001,108.94200000000001,108.94200000000001,108.94200000000001,1
2019-11-11 07:44:35,108.944,108.946,108.944,108.946,4
2019-11-11 07:44:40,108.946,108.946,108.946,108.946,2
2019-11-11 07:44:45,108.946,108.946,108.946,108.946,3
2019-11-11 07:44:50,108.946,108.946,108.946,108.946,5
2019-11-11 07:44:55,108.946,108.946,108.944,108.944,9
2019-11-11 07:45:00,108.946,108.95299999999999,108.946,108.95299999999999,7
2019-11-11 07:45:05,108.95200000000001,108.956,108.95200000000001,108.956,6
2019-11-11 07:45:10,108.958,108.958,108.958,108.958,1
2019-11-11 07:45:15,108.958,108.958,108.958,108.958,3
2019-11-11 07:45:20,108.958,108.958,108.958,108.958,7
2019-11-11 07:45:25,108.958,108.958,108.956,108.956,3
2019-11-11 07:45:30,108.958,108.958,108.958,108.958,1
2019-11-11 07:45:45,108.956,108.959,108.956,108.958,4
2019-11-11 07:45:50,108.95700000000001,108.95700000000001,108.95700000000001,108.95700000000001,1
2019-11-11 07:46:10,108.958,108.958,108.958,108.958,1
2019-11-11 07:46:15,108.96,108.96,108.958,108.958,2
2019-11-11 07:46:20,108.959,108.96,108.95700000000001,108.96,9
2019-11-11 07:46:30,108.958,108.958,108.95700000000001,108.95700000000001,2
2019-11-11 07:46:45,108.958,108.959,108.95700000000001,108.959,8
2019-11-11 07:46:50,108.958,108.959,108.958,108.959,2
2019-11-11 07:46:55,108.958,108.96,108.958,108.96,2
2019-11-11 07:47:00,108.96,108.965,108.96,108.965,4
2019-11-11 07:47:10,108.964,108.964,108.964,108.964,1
2019-11-11 07:47:15,108.962,108.962,108.961,108.962,5
2019-11-11 07:47:20,108.961,108.962,108.961,108.962,4
2019-11-11 07:47:25,108.964,108.964,108.964,108.964,1
2019-11-11 07:47:30,108.963,108.964,108.963,108.964,2
2019-11-11 07:47:40,108.965,108.965,108.965,108.965,1
2019-11-11 07:47:45,108.964,108.964,108.964,108.964,1
2019-11-11 07:47:50,108.963,108.963,108.963,108.963,1
